payment,33531565,255960933189019,288
payment,67726807,255961001096484,288
new_order,61251649,255961062471520,288
payment,28359675,255961090972130,288
new_order,18656053367,255979747146007,288
new_order,64209956,255979811482782,288
payment,39278145,255979850880922,288
new_order,139467893,255979990479532,288
payment,40302660,255980030904431,288
payment,95796555,255980126824488,288
payment,29563088,255980156518275,288
new_order,82106151,255980238744010,288
payment,84139918,255980322941783,288
payment,28318862,255980351381776,288
new_order,92358432,255980443869959,288
payment,30717686,255980474710215,288
new_order,134611836,255980609443053,288
new_order,130061775,255980739628620,288
new_order,106946000,255980846681395,288
new_order,68387680,255980915135168,288
stock_level,25866402,255980941121785,288
delivery,34989029,255980976246405,288
delivery,34026043,255981010392878,288
delivery,34087475,255981044601691,288
delivery,34310145,255981079069883,288
delivery,34982319,255981114173469,288
delivery,35507733,255981149821147,288
delivery,34513909,255981184455290,288
delivery,36402259,255981220977714,288
delivery,39243168,255981260341338,288
delivery,34907269,255981295368811,288
new_order,68938970,255981364428217,288
delivery,35757420,255981400296312,288
delivery,36880032,255981437315678,288
delivery,36785967,255981474222319,288
delivery,33915160,255981508262497,288
delivery,35268275,255981543650766,288
delivery,36302841,255981580061680,288
delivery,35858334,255981616041040,288
delivery,38959949,255981655123634,288
delivery,35875768,255981691119673,288
delivery,35987319,255981727227943,288
payment,32750768,255981760100937,288
new_order,3853775077,255985613966364,288
#end,24,714431,288
