new_order,1517679311,255961186649168,192
new_order,131816673,255961318683708,192
new_order,122758896,255961441567405,192
new_order,85076283,255961526766100,192
payment,35944605,255961562765865,192
payment,34897145,255961597722511,192
new_order,112057481,255961709900403,192
new_order,98360208,255961808319347,192
payment,32511677,255961840951330,192
new_order,103916712,255961944991785,192
new_order,317784147,255962262895360,192
order_status,16364292,255962279315600,192
payment,25756231,255962305191620,192
new_order,78059848,255962383371458,192
new_order,96059486,255962479582327,192
payment,37324846,255962517008435,192
new_order,73022715,255962590151044,192
payment,125951937,255962716163942,192
payment,35146737,255962751431451,192
new_order,100014159,255962851501194,192
payment,41074240,255962892630786,192
payment,25133956,255962917867742,192
payment,34599979,255962952588434,192
payment,38823618,255962991468838,192
payment,25197373,255963016786467,192
payment,35341567,255963052248494,192
new_order,105378466,255963157747309,192
new_order,115248861,255963273105908,192
stock_level,23189375,255963296352713,192
payment,25612942,255963322086271,192
new_order,63316152,255963385522778,192
new_order,58749245,255963444391998,192
payment,26015826,255963470527748,192
payment,35321846,255963505974865,192
stock_level,21847533,255963527942253,192
new_order,25427482223,255988955544225,192
#end,29,286700,192
